//unidirectional edges//
50 1200
12 0 2
11 1 10
25 2 5
29 3 4
0 4 23
25 5 8
43 6 21
46 7 23
47 8 5
20 9 10
15 10 25
8 11 13
15 12 5
26 14 10
47 15 22
33 16 2
6 17 17
41 18 10
49 19 21
2 20 20
4 21 11
41 22 22
34 23 22
23 24 7
13 25 5
25 26 11
30 27 2
47 28 -1
48 29 10
47 30 17
25 31 2
27 32 19
10 33 25
7 34 10
11 35 13
31 36 20
45 37 3
20 38 3
40 39 9
8 40 2
30 41 2
8 42 10
33 43 8
46 44 12
11 45 0
47 46 15
13 47 24
47 48 19
40 49 0
21 43 3
41 10 15
12 20 7
11 13 8
25 9 1
17 27 9
30 1 11
10 38 23
21 22 12
4 13 24
2 17 20
35 33 24
6 5 2
7 0 10
42 6 17
40 36 20
48 24 11
15 37 21
47 10 3
28 35 12
11 15 22
22 46 3
22 12 6
49 23 17
37 38 0
15 1 15
45 46 14
12 47 5
21 17 8
41 42 22
18 46 24
38 43 19
42 39 14
19 26 3
27 33 5
35 26 14
30 2 10
43 47 2
11 43 24
31 37 8
46 9 18
20 19 5
36 28 11
25 22 1
8 19 -1
16 38 23
30 39 22
41 44 17
43 29 18
47 27 10
37 17 19
11 47 13
7 31 -1
47 18 10
10 17 11
11 32 6
39 28 1
4 28 14
31 29 7
17 36 2
16 17 8
20 10 0
33 5 25
0 11 16
29 10 18
10 12 3
4 31 17
12 11 5
8 12 18
8 13 20
14 29 15
38 5 8
25 37 -1
6 2 5
14 28 23
29 27 19
49 0 1
41 25 9
43 34 17
36 21 0
26 6 13
7 13 13
31 19 9
12 46 1
16 10 22
32 14 5
30 20 0
14 16 23
29 24 3
48 49 5
29 18 14
45 38 16
33 6 9
39 19 10
25 17 19
49 37 12
49 2 11
32 47 16
33 20 22
45 19 13
47 45 -1
0 48 7
41 14 25
32 28 23
36 49 10
11 3 1
30 16 15
21 32 3
30 21 4
26 3 5
7 24 24
39 2 22
49 45 8
21 42 1
49 3 4
49 14 16
27 13 13
2 10 19
24 35 6
27 8 2
5 44 5
18 48 8
44 48 25
14 36 23
21 13 10
16 29 -1
5 26 9
46 48 19
5 30 1
9 28 11
15 17 9
3 45 20
12 21 19
31 0 18
38 19 4
29 2 1
23 25 22
28 27 23
22 18 3
4 16 2
28 25 1
5 16 14
15 35 -1
22 29 11
29 39 7
2 38 23
10 3 17
0 47 8
29 13 25
17 19 22
39 27 8
38 9 23
12 35 13
3 24 21
3 34 1
31 45 0
28 0 10
0 43 24
4 2 22
0 18 16
41 13 23
42 24 1
42 48 8
41 34 2
27 15 21
33 0 7
20 24 10
36 23 24
15 3 2
1 23 16
40 25 3
3 12 5
8 33 17
47 20 2
22 40 25
2 13 24
18 16 20
8 28 16
2 0 20
44 4 19
36 1 9
36 37 24
29 1 19
3 21 3
43 10 20
29 44 24
8 25 12
5 11 25
23 20 10
41 4 13
40 0 -1
29 42 4
43 2 6
15 28 2
27 2 20
15 9 25
37 14 -1
28 30 25
29 38 13
20 42 12
10 48 23
37 41 19
46 8 6
49 13 18
37 42 7
48 25 -1
34 46 12
19 27 25
40 29 19
27 1 -1
1 9 14
11 39 0
48 32 18
1 44 4
0 22 24
10 18 6
32 35 4
17 3 14
37 3 15
6 22 0
21 10 23
17 8 -1
23 21 17
2 45 24
35 10 20
42 15 16
35 6 15
32 7 10
6 45 3
24 14 4
30 4 19
0 46 12
12 19 19
4 22 14
48 37 18
3 4 14
2 40 10
24 0 14
32 8 9
36 15 13
17 0 22
32 0 14
45 39 14
42 7 8
42 36 16
45 21 3
44 33 0
3 7 6
31 30 -1
5 9 5
19 29 5
26 41 21
14 47 0
32 36 23
10 49 3
19 37 10
33 13 20
44 49 21
14 13 17
9 16 11
17 29 1
10 4 8
38 22 24
48 43 5
23 45 1
0 25 4
46 13 -1
43 32 -1
43 7 9
32 12 1
3 40 6
34 1 -1
12 2 20
2 7 23
38 18 -1
26 10 24
12 43 -1
49 26 23
20 17 8
0 37 14
41 7 3
38 34 13
23 18 3
35 7 21
36 22 3
7 14 -1
46 30 15
15 44 11
30 49 12
7 44 16
22 17 2
12 9 5
45 10 6
2 32 14
18 7 2
24 38 0
10 13 -1
22 1 25
39 48 23
18 44 2
35 22 17
21 27 15
2 3 5
20 41 6
22 16 11
25 20 22
34 6 14
7 33 6
20 36 4
25 10 -1
19 13 18
16 43 2
36 11 22
20 15 3
47 19 4
37 27 22
46 6 10
10 11 10
33 14 25
1 12 20
32 1 25
21 34 1
18 35 20
4 6 22
31 22 3
38 13 -1
16 34 25
4 38 22
39 20 3
35 31 1
0 13 0
23 8 18
41 23 5
33 38 17
25 11 22
29 41 15
1 14 -1
14 3 14
14 42 0
12 39 25
17 13 23
2 28 12
32 39 6
24 6 0
27 3 13
28 34 16
38 28 0
21 39 7
32 46 2
40 19 5
23 28 20
28 1 9
7 16 3
26 33 8
9 17 0
40 14 5
33 37 21
25 21 6
46 24 23
28 20 6
28 46 24
42 34 20
39 7 21
43 31 16
34 4 19
25 24 16
16 45 20
46 11 19
16 25 17
18 25 1
32 9 23
26 38 18
46 49 13
38 0 1
6 8 17
18 28 4
28 10 13
9 41 11
44 2 11
27 36 24
3 5 19
45 17 18
31 23 2
36 48 8
34 5 10
5 37 20
9 4 25
24 26 25
41 5 10
34 27 23
